route_id,agency_id,route_short_name,route_long_name,route_type
257,1,257,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO) - SAO PAULO (METRO TATUAPE),3
258,1,258,GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO) - SAO PAULO (AEROPORTO DE CONGONHAS),3
260,1,260,BARUERI (ALPHAVILLE) - COTIA (KM 30 RODOVIA RAPOSO TAVARES),3
260EX1,1,260EX1,BARUERI (ALPHAVILLE) - COTIA (KM 30 RODOVIA RAPOSO TAVARES),3
261,1,261,SANTANA DE PARNAIBA (VARZEA DE SOUZA) - SAO PAULO (LAPA),3
262,1,262,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE LESTE) - SAO PAULO (ARTUR ALVIM),3
263,1,263,CARAPICUIBA (JARDIM NOVO HORIZONTE) - OSASCO (VILA YARA),3
264,1,264,SANTANA DE PARNAIBA (PARQUE SANTANA) - SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),3
264BI1,1,264BI1,BARUERI (JARDIM CALIFORNIA) - SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX),3
265,1,265,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE - LESTE) - SP (CONJUNTO HABITACIONAL TEOTONIO VILELA),3
266,1,266,GUARULHOS (INOCOOP) - SAO PAULO (METRO ARMENIA),3
266DV1,1,266DV1,GUARULHOS (INOCOOP) - SAO PAULO (METRO ARMENIA),3
269,1,269,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL) - SAO PAULO (METRO CORINTHIANS-ITAQUERA),3
273,1,273,SUZANO (CENTRO) - ARUJA (PARQUE RODRIGO BARRETO),3
277,1,277,SANTA ISABEL (MONTE SERRAT) - MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES),3
279,1,279,DIADEMA (TERMINAL METROPOLITANO DE DIADEMA) - SAO PAULO (METRO SAO JUDAS),3
280,1,280,OSASCO (CENTRO) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
280BI1,1,280BI1,SAO PAULO (CIDADE UNIVERSITARIA) - SAO BERNARDO DO CAMPO (TERMINAL PACO - SAO BERNARDO),3
281,1,281,MAIRIPORA (TERMINAL RODOVIARIO CIDADE BONITA SIGUEMI AIACYDA) - SAO PAULO (PEDRA BRANCA),3
283,1,283,CARAPICUIBA (CIDADE ARISTON) - OSASCO (VILA YARA),3
283VP1,1,283VP1,CARAPICUIBA (CIDADE ARISTON) - OSASCO (CENTRO),3
284,1,284,SAO PAULO (TERMINAL METROPOLITANO SAO MATEUS) - SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE OESTE),3
