stop_id,stop_name,stop_lat,stop_lon
120,"Av. Rangel Pestana, 2893 - Vila Bela Vista, Santo André - SP, 09180-290, Brasil",-23.688535,-46.52994
121,"Avenida Rangel Pestana, 801",-23.687821,-46.529031
122,"Avenida Rangel Pestana, 517-569",-23.686189,-46.527431
123,"Avenida Rangel Pestana, 403",-23.685126,-46.526623
124,"Av. Rangel Pestana, 119 - Jardim Cristiane, Santo André - SP, 09185-220, Brasil",-23.683788,-46.528234
127,Parada Metropolitana Brasil,-23.71785,-46.551222
128,Parada Metropolitana Cooperativas,-23.715116,-46.551742
129,Parada Metropolitana Lauro Gomes,-23.712332,-46.552059
132,Parada Provisória São Bernardo do Campo,-23.698346,-46.551609
134,Parada Metropolitana Getúlio Vargas,-23.691605,-46.548341
135,Parada Metropolitana Baeta Neves,-23.687567,-46.547587
136,Parada Metropolitana Pilar,-23.683057,-46.545242
137,Parada Metropolitana Estela,-23.680991,-46.541187
138,Parada Metropolitana Gilda,-23.67645,-46.536669
139,Parada Metropolitana Paraíso,-23.670801,-46.535497
140,Parada Metropolitana Santa Tereza,-23.667505,-46.532316
141,Parada Metropolitana Alfredo Flaquer,-23.660579,-46.529767
142,Parada Metropolitana IV Centenário,-23.655493,-46.531358
143,Parada Metropolitana Itamarati,-23.647235,-46.524819
144,Parada Metropolitana Bangú,-23.644756,-46.523432
145,Parada Metropolitana Lituânia,-23.641242,-46.521389
146,Parada Metropolitana Bonfim,-23.638768,-46.519127
147,Parada Metropolitana Parque das Nações,-23.636272,-46.515729
148,Parada Metropolitana Timor,-23.633892,-46.512165
149,Parada Metropolitana Manila,-23.6318,-46.510926
150,Parada Metropolitana Angola,-23.628281,-46.509822
151,Parada Metropolitana Nevada,-23.62726,-46.504831
152,Parada Metropolitana Cidade dos Meninos,-23.62601,-46.501481
153,Parada Metropolitana Santo Alberto,-23.626061,-46.496181
154,Parada Metropolitana Ana Maria,-23.625992,-46.491703
155,Parada Metropolitana Nestor de Barros,-23.624767,-46.48732
156,Parada Metropolitana Sônia Maria,-23.623632,-46.480838
157,Parada Metropolitana Santa Adélia,-23.620995,-46.478388
159,Terminal Metropolitano Jabaquara,-23.646758,-46.63948
160,Parada Metropolitana Cidade Vargas,-23.649392,-46.640572
161,Parada Metropolitana Encontro,-23.652838,-46.637207
162,Parada Metropolitana Faccini,-23.656368,-46.636396
163,Parada Metropolitana Americanópolis,-23.661466,-46.637402
164,Parada Metropolitana São José,-23.665359,-46.63805
165,Parada Metropolitana Bom Clima,-23.669129,-46.634846
